week_ending,player_id,overall_mean,overall_sd,hard_mean,hard_sd,clay_mean,clay_sd,grass_mean,grass_sd
2026-06-07,UDzElXdm,3.526729814,0.1738145352,3.540042098,0.1794502019,3.474200308,0.1712438609,3.565947036,0.1829596626
2026-06-07,jNyZsXZe,3.360014023,0.1819366566,3.387846494,0.1862462919,3.618236108,0.1798114688,3.073959467,0.191476339
2026-06-07,f5BXmEH6,3.09474913,0.175778322,3.114546569,0.181331515,3.042677123,0.1731190627,3.1270237,0.1861257155
2026-06-07,lI6fOOat,2.929956424,0.174100672,2.979976342,0.1837497451,3.051129376,0.1690598608,2.758763553,0.1946286475
2026-06-07,KdojxrAR,2.799942349,0.1860374761,2.926904696,0.1905866669,2.761312906,0.1834164754,2.711609444,0.1963990603
2026-06-14,vyhksgUB,3.857734561,0.2106776412,3.963055796,0.2139563563,3.850793098,0.2095530257,3.759354789,0.2190488106
2026-06-14,jNyZsXZe,3.340681871,0.1961149514,3.36795316,0.2001310866,3.597983307,0.1941466213,3.056109144,0.2049787518
2026-06-14,UDzElXdm,3.103272349,0.1448629579,3.123350403,0.1532221207,3.072828714,0.1472518972,3.113637931,0.1484246418
2026-06-14,f5BXmEH6,3.092047404,0.1903020329,3.111662326,0.195458739,3.039258132,0.1878417993,3.125221752,0.1998847939
2026-06-14,lI6fOOat,2.940804546,0.1888238746,2.988693388,0.1977750565,3.061030641,0.1841831692,2.772689608,0.2078775348
2026-06-14,KdojxrAR,2.776666129,0.1998234434,2.903331357,0.2040754007,2.737188448,0.1973799448,2.689478581,0.2094955856
2026-06-21,vyhksgUB,3.435917233,0.1433933313,3.549123986,0.1520725168,3.443357261,0.1489055974,3.315270452,0.1440739476
2026-06-21,jNyZsXZe,3.333994334,0.2091613728,3.360543964,0.2129484292,3.591227356,0.207319951,3.050211684,0.2174697994
2026-06-21,UDzElXdm,3.119492274,0.1450709509,3.139094827,0.1539280161,3.08811173,0.1490497911,3.131270265,0.1463787326
2026-06-21,lI6fOOat,2.933660183,0.2025301023,2.982466167,0.2109103051,3.052513189,0.1982124904,2.766001194,0.2203845587
2026-06-21,f5BXmEH6,2.842349631,0.1715974757,2.866437124,0.1786467258,2.802791877,0.1726394246,2.857819892,0.1769352361
2026-06-21,KdojxrAR,2.69993052,0.1291512476,2.827479528,0.1390697592,2.665629562,0.136163565,2.606682471,0.1290394147
2026-06-28,vyhksgUB,3.417366759,0.1596367814,3.530474241,0.1675523773,3.425125977,0.1647323382,3.29650006,0.1600244492
2026-06-28,UDzElXdm,3.132202864,0.1619377094,3.151253989,0.1699446434,3.099355942,0.1655779436,3.145998662,0.163006307
2026-06-28,jNyZsXZe,3.116482506,0.1774945432,3.146055229,0.1836744381,3.38146351,0.1792599624,2.821928781,0.1814456704
2026-06-28,lI6fOOat,2.903561441,0.176090597,2.953244408,0.189494953,3.02342417,0.1784223389,2.734015745,0.1847593364
2026-06-28,f5BXmEH6,2.844078794,0.1866206836,2.868183404,0.1931244627,2.80361212,0.1875820554,2.860440859,0.1915321004
2026-06-28,KdojxrAR,2.703754907,0.146805861,2.83119261,0.1556696141,2.668109682,0.1531884405,2.611962429,0.14643249
2026-07-05,vyhksgUB,3.407153213,0.1267561757,3.519189542,0.137880749,3.413639254,0.135500034,3.288630842,0.1231595586
2026-07-05,UDzElXdm,3.250641758,0.1358671829,3.267531591,0.1460534164,3.212899585,0.1425508402,3.2714941,0.1337821035
2026-07-05,jNyZsXZe,3.199835687,0.1381363352,3.227313774,0.1477437826,3.461585972,0.1443895737,2.910607314,0.1370591452
2026-07-05,KdojxrAR,2.988268256,0.1273049812,3.112063124,0.1381594104,2.943148578,0.1367555245,2.909593066,0.1236526829
2026-07-05,lI6fOOat,2.830824843,0.1534815507,2.883380116,0.1716876625,2.955933116,0.161839968,2.653161296,0.1536191429
2026-07-05,f5BXmEH6,2.805412682,0.1318805369,2.828673989,0.1430791355,2.765013392,0.1392540382,2.822550667,0.1300273332
2026-07-12,vyhksgUB,3.466417508,0.1461398496,3.578058277,0.1558987638,3.473020447,0.1537890214,3.348173801,0.1430141859
2026-07-12,UDzElXdm,3.282679597,0.1537147956,3.299469573,0.1628019945,3.245661685,0.1596753669,3.302907534,0.1518345834
2026-07-12,jNyZsXZe,3.243566833,0.1559756591,3.270856693,0.1645578126,3.505854359,0.1615543874,2.953989447,0.1549919985
2026-07-12,KdojxrAR,3.090235571,0.1386289848,3.213797365,0.1487539702,3.044047017,0.1476552957,3.01286233,0.1348401403
2026-07-12,lI6fOOat,2.888792912,0.1700286722,2.941088385,0.1866335176,3.013742788,0.1776044502,2.711547561,0.1701506871
2026-07-12,f5BXmEH6,2.711140325,0.1324765746,2.735568795,0.1439722967,2.67493212,0.1407615324,2.722920059,0.1291924417
2026-07-19,vyhksgUB,3.46954211,0.1632904405,3.580720502,0.1720950235,3.476172336,0.1701516684,3.351733492,0.1604994174
2026-07-19,UDzElXdm,3.285257108,0.1701543291,3.301725461,0.1784164179,3.248470318,0.1755404018,3.305575545,0.1684617702
2026-07-19,jNyZsXZe,3.247312102,0.1721998526,3.274220916,0.1800232316,3.509761753,0.1772567696,2.957953637,0.1713051572
2026-07-19,KdojxrAR,3.093828943,0.1562339722,3.216877678,0.1653054981,3.047776527,0.1643041335,3.016832626,0.1528456533
2026-07-19,lI6fOOat,2.916707495,0.1839815808,2.967712868,0.1995116236,3.040666713,0.1911077127,2.741742905,0.1838776641
2026-07-19,f5BXmEH6,2.717572878,0.1510235232,2.741488358,0.1612248718,2.682472115,0.1583425726,2.728758162,0.1481186927
2026-07-26,vyhksgUB,3.47181334,0.1789582718,3.582873352,0.1870192536,3.478500603,0.1852451183,3.354066066,0.1764151788
2026-07-26,UDzElXdm,3.29345671,0.1852286435,3.309758532,0.1928382927,3.257533724,0.1901852802,3.313077874,0.1836830293
2026-07-26,jNyZsXZe,3.251829841,0.1871418522,3.278243828,0.1943588315,3.514486086,0.1918092849,2.962759609,0.1863185765
2026-07-26,KdojxrAR,3.090102961,0.1723576656,3.212917247,0.1806188267,3.044515742,0.1797201477,3.012875893,0.1692766806
2026-07-26,lI6fOOat,2.937733912,0.1979478241,2.987884599,0.212461127,3.061426411,0.2046017664,2.763890724,0.1978312578
2026-07-26,f5BXmEH6,2.726441828,0.1676370413,2.74990801,0.1768851865,2.691749442,0.1742857386,2.737668031,0.1649909354
2026-08-02,vyhksgUB,3.457188379,0.1931561297,3.56793968,0.2006470912,3.464716295,0.1990108108,3.338909162,0.1907842126
2026-08-02,UDzElXdm,3.288448962,0.1987836231,3.304240722,0.2058977577,3.253010454,0.2034412183,3.308095712,0.1973041406
2026-08-02,jNyZsXZe,3.257986268,0.2007562242,3.283561918,0.2075030173,3.520385326,0.2051359288,2.97001156,0.1999598839
2026-08-02,KdojxrAR,2.978001129,0.1346258239,3.093624277,0.137027467,2.931984764,0.1429447246,2.908394346,0.1394737902
2026-08-02,lI6fOOat,2.944117517,0.2108899016,2.992979498,0.2245785963,3.067997492,0.217190307,2.771375559,0.2107161328
2026-08-02,f5BXmEH6,2.714484186,0.18275179,2.737218785,0.1912652545,2.680190925,0.1888830109,2.726042848,0.1803165961
