match_id,match_date,player_1_won,probability_peak_22,probability_peak_24,probability_peak_26,probability_peak_28
Y3P0V030,2024-01-18,0,0.6151158738,0.6151200067,0.616332519,0.6160027078
0YaLoRid,2024-01-18,0,0.6064412219,0.6055067966,0.6076672639,0.6155333462
rZpMxqBQ,2024-01-18,0,0.8867070938,0.8869773292,0.8858994791,0.8858964874
COcnYOUP,2024-01-18,0,0.4040259991,0.4041242511,0.3973597111,0.3987391048
WhQG67HO,2024-01-18,1,0.7375949905,0.7385087697,0.740361465,0.74590843
xAgiM8eS,2024-01-18,0,0.4199763647,0.4171934819,0.415944068,0.4183852635
0dSVEOGj,2024-01-18,1,0.441903307,0.4486657946,0.4429656407,0.4342062643
8MHHbhyF,2024-01-18,0,0.113094408,0.1135706854,0.1126450826,0.1120301109
tvhvViEH,2024-01-18,1,0.8658322386,0.8630925104,0.8644204764,0.8646553233
t6YCa2dk,2024-01-18,0,0.2334749691,0.2315795856,0.230545964,0.2292782818
vXnGzdpt,2024-01-18,0,0.05853650586,0.06024787348,0.05920242826,0.05858164619
bkg2gBk6,2024-01-18,1,0.662051845,0.6565637699,0.6612842932,0.6659395937
Oby1z87f,2024-01-19,1,0.2119907973,0.211042093,0.2101772722,0.2015882205
2gtmTVrU,2024-01-19,0,0.1972516381,0.1970720248,0.1930624064,0.1883157304
fsI2SYEf,2024-01-19,1,0.5384325162,0.5369955475,0.5420792309,0.539835953
rXyBu4bs,2024-01-19,0,0.5854929445,0.5825879433,0.5799325582,0.5819432292
Gtv4UIYr,2024-01-19,1,0.8191042606,0.8190626568,0.819575455,0.8215290038
KQ8SdsP9,2024-01-19,1,0.2979346838,0.2918011368,0.2930610585,0.3016214126
27JEtK2H,2024-01-19,0,0.3458536835,0.3468063714,0.3548076859,0.3489685666
CrAKj2yn,2024-01-19,0,0.4968636518,0.4966786815,0.4980306809,0.5025155316
hOE7XjMA,2024-01-20,0,0.9174668468,0.9205187571,0.920395004,0.9199757193
